Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
Brd1,SSD1306,128x64OLED,100.838,-37.211,180.0,top
C1,22pF,C_0805_2012Metric,103.33754,-54.31554,45.0,top
C2,22pF,C_0805_2012Metric,108.007273,-58.985273,-135.0,top
C3,0.1uF,C_0805_2012Metric,96.774,-56.896,135.0,top
C4,0.1uF,C_0805_2012Metric,112.522,-63.627,-135.0,top
C5,0.1uF,C_0805_2012Metric,91.186,-67.31,45.0,top
C6,0.1uF,C_0805_2012Metric,96.139,-71.12,45.0,top
C7,10uF,C_0805_2012Metric,97.79,-73.406,45.0,top
C8,1uF,C_0805_2012Metric,106.172,-69.85,180.0,top
D0_0,D_Small,D_SOD-123,26.162,-41.783,0.0,top
D0_1,D_Small,D_SOD-123,45.212,-41.783,0.0,top
D0_2,D_Small,D_SOD-123,64.262,-41.783,0.0,top
D0_5,D_Small,D_SOD-123,119.38,-101.092,-90.0,top
D1_0,D_Small,D_SOD-123,26.162,-60.833,0.0,top
D1_1,D_Small,D_SOD-123,45.212,-60.833,0.0,top
D1_2,D_Small,D_SOD-123,64.262,-60.833,0.0,top
D1_4,D_Small,D_SOD-123,119.253,-139.065,-90.0,top
D2_0,D_Small,D_SOD-123,26.162,-79.883,0.0,top
D2_1,D_Small,D_SOD-123,45.212,-79.883,0.0,top
D2_2,D_Small,D_SOD-123,64.262,-79.883,0.0,top
D2_4,D_Small,D_SOD-123,119.253,-120.015,-90.0,top
D3_0,D_Small,D_SOD-123,26.162,-98.933,0.0,top
D3_1,D_Small,D_SOD-123,45.212,-98.933,0.0,top
D3_2,D_Small,D_SOD-123,64.262,-98.933,0.0,top
D3_3,D_Small,D_SOD-123,83.312,-98.933,0.0,top
D3_4,D_Small,D_SOD-123,102.362,-98.933,0.0,top
D4_0,D_Small,D_SOD-123,26.162,-117.983,0.0,top
D4_1,D_Small,D_SOD-123,45.212,-117.983,0.0,top
D4_2,D_Small,D_SOD-123,64.262,-117.983,0.0,top
D4_3,D_Small,D_SOD-123,83.312,-117.983,0.0,top
D4_4,D_Small,D_SOD-123,102.362,-117.983,0.0,top
D5_0,D_Small,D_SOD-123,26.162,-137.033,0.0,top
D5_1,D_Small,D_SOD-123,45.212,-137.033,0.0,top
D5_2,D_Small,D_SOD-123,64.262,-137.033,0.0,top
D5_3,D_Small,D_SOD-123,83.312,-137.033,0.0,top
D5_4,D_Small,D_SOD-123,102.362,-137.033,0.0,top
D6_0,D_Small,D_SOD-123,26.13025,-156.083,0.0,top
D6_1,D_Small,D_SOD-123,45.212,-156.083,0.0,top
D6_2,D_Small,D_SOD-123,64.262,-156.083,0.0,top
D6_3,D_Small,D_SOD-123,83.312,-156.083,0.0,top
D6_4,D_Small,D_SOD-123,102.362,-156.083,0.0,top
D36,SD05_SOD323,D_SOD-323,132.2305,-30.226,90.0,top
DL0_0,SK6805-EC15,SK6805-EC15,33.401,-41.91,0.0,top
DL0_1,SK6805-EC15,SK6805-EC15,52.451,-42.037,0.0,top
DL0_2,SK6805-EC15,SK6805-EC15,71.501,-41.91,0.0,top
DL1_0,SK6805-EC15,SK6805-EC15,33.274,-60.96,0.0,top
DL1_1,SK6805-EC15,SK6805-EC15,52.357,-60.96,0.0,top
DL1_2,SK6805-EC15,SK6805-EC15,71.501,-60.96,0.0,top
DL2_0,SK6805-EC15,SK6805-EC15,33.274,-80.01,0.0,top
DL2_1,SK6805-EC15,SK6805-EC15,52.578,-80.01,0.0,top
DL2_2,SK6805-EC15,SK6805-EC15,71.501,-80.01,0.0,top
DL3_0,SK6805-EC15,SK6805-EC15,33.274,-99.06,0.0,top
DL3_1,SK6805-EC15,SK6805-EC15,52.451,-99.06,0.0,top
DL3_2,SK6805-EC15,SK6805-EC15,71.501,-99.06,0.0,top
DL3_3,SK6805-EC15,SK6805-EC15,90.551,-99.06,0.0,top
DL3_4,SK6805-EC15,SK6805-EC15,109.474,-99.06,0.0,top
DL4_0,SK6805-EC15,SK6805-EC15,33.274,-118.11,0.0,top
DL4_1,SK6805-EC15,SK6805-EC15,52.324,-118.11,0.0,top
DL4_2,SK6805-EC15,SK6805-EC15,71.374,-118.11,0.0,top
DL4_3,SK6805-EC15,SK6805-EC15,90.424,-118.11,0.0,top
DL4_4,SK6805-EC15,SK6805-EC15,109.474,-118.11,0.0,top
DL5_0,SK6805-EC15,SK6805-EC15,33.401,-137.16,0.0,top
DL5_1,SK6805-EC15,SK6805-EC15,52.357,-137.193,0.0,top
DL5_2,SK6805-EC15,SK6805-EC15,71.374,-137.16,0.0,top
DL5_3,SK6805-EC15,SK6805-EC15,90.424,-137.254,0.0,top
DL5_4,SK6805-EC15,SK6805-EC15,109.474,-137.16,0.0,top
DL6_0,SK6805-EC15,SK6805-EC15,33.401,-156.21,0.0,top
DL6_1,SK6805-EC15,SK6805-EC15,52.324,-156.21,0.0,top
DL6_2,SK6805-EC15,SK6805-EC15,71.501,-156.21,0.0,top
